Lisa Yan receives Faculty Award for Outstanding Mentorship of GSIs,Gloria Tao,"Mon, 11 Mar 2024 22:52:13 +0000"
Berkeley experts urge high schools to offer advanced math in line with UC report,Matthew Santillan,"Fri, 08 Mar 2024 23:50:32 +0000"
Natacha Crooks wins IEEE TCDE Rising Star Award,Matthew Santillan,"Wed, 06 Mar 2024 00:10:52 +0000"
Nika Haghtalab named Schmidt Sciencesâ€™ AI2050 Early Career Fellow,Matthew Santillan,"Mon, 04 Mar 2024 18:53:39 +0000"
Three EECS professors win IEEE SSCS Innovative Education Award,Gloria Tao,"Mon, 26 Feb 2024 18:38:17 +0000"
Three EECS professors win prized Sloan Research Fellowships,Matthew Santillan,"Wed, 21 Feb 2024 19:46:53 +0000"
International House to honor Chenming Hu with Global Impact Award,Gloria Tao,"Fri, 09 Feb 2024 19:06:57 +0000"
Joseph Gier added to self-guided Black history tour of UC Berkeley,Gloria Tao,"Thu, 08 Feb 2024 17:50:51 +0000"
Ion Stoica elected to the National Academy of Engineering,Gloria Tao,"Wed, 07 Feb 2024 16:31:16 +0000"
"Robert Brodersen, co-founder of the Berkeley Wireless Research Center, has passed away",Matthew Santillan,"Tue, 06 Feb 2024 22:41:37 +0000"
